country,year_week,indicator,weekly_count,week
Albania,2020-03-09,cases,2.0,1
Albania,2020-03-16,cases,40.0,2
Albania,2020-03-23,cases,47.0,3
Albania,2020-03-30,cases,123.0,4
Albania,2020-04-06,cases,149.0,5
Albania,2020-04-13,cases,85.0,6
Albania,2020-04-20,cases,116.0,7
Albania,2020-04-27,cases,164.0,8
Albania,2020-05-04,cases,69.0,9
Albania,2020-05-11,cases,73.0,10
Albania,2020-05-18,cases,78.0,11
Albania,2020-05-25,cases,52.0,12
Albania,2020-06-01,cases,139.0,13
Albania,2020-06-08,cases,109.0,14
Albania,2020-06-15,cases,275.0,15
Albania,2020-06-22,cases,406.0,16
Albania,2020-06-29,cases,475.0,17
Albania,2020-07-06,cases,491.0,18
Albania,2020-07-13,cases,561.0,19
Albania,2020-07-20,cases,636.0,20
Albania,2020-07-27,cases,673.0,21
Albania,2020-08-03,cases,756.0,22
Albania,2020-08-10,cases,892.0,23
Albania,2020-08-17,cases,969.0,24
Albania,2020-08-24,cases,1047.0,25
Albania,2020-08-31,cases,953.0,26
Albania,2020-09-07,cases,875.0,27
Albania,2020-09-14,cases,1098.0,28
Albania,2020-09-21,cases,1032.0,29
Albania,2020-09-28,cases,874.0,30
Albania,2020-10-05,cases,1007.0,31
Albania,2020-10-12,cases,1133.0,32
Albania,2020-10-19,cases,1656.0,33
Albania,2020-10-26,cases,2102.0,34
Albania,2020-11-02,cases,2045.0,35
Albania,2020-11-09,cases,3004.0,36
Albania,2020-11-16,cases,3624.0,37
Albania,2020-11-23,cases,4931.0,38
Albania,2020-11-30,cases,4864.0,39
Albania,2020-12-07,cases,5363.0,40
Albania,2020-12-14,cases,5542.0,41
Albania,2020-12-21,cases,4473.0,42
Albania,2020-12-28,cases,3569.0,43
Albania,2021-01-04,cases,2866.0,44
Albania,2021-01-04,cases,4157.0,45
Albania,2021-01-11,cases,4095.0,46
Albania,2021-01-18,cases,4584.0,47
Albania,2021-01-25,cases,5853.0,48
Albania,2021-02-01,cases,7209.0,49
Albania,2021-02-08,cases,7739.0,50
Albania,2021-02-15,cases,7171.0,51
