country,year_week,indicator,weekly_count,week
Albania,2021-03-01,deaths,143.0,1
Albania,2021-03-08,deaths,106.0,2
Albania,2021-03-15,deaths,92.0,3
Albania,2021-03-22,deaths,73.0,4
Albania,2021-03-29,deaths,55.0,5
Albania,2021-04-05,deaths,52.0,6
Albania,2021-04-12,deaths,25.0,7
Albania,2021-04-19,deaths,36.0,8
Albania,2021-04-26,deaths,19.0,9
Albania,2021-05-03,deaths,15.0,10
Albania,2021-05-10,deaths,20.0,11
Albania,2021-05-17,deaths,12.0,12
Albania,2021-05-24,deaths,6.0,13
Albania,2021-05-31,deaths,1.0,14
Albania,2021-06-07,deaths,2.0,15
Albania,2021-06-14,deaths,1.0,16
Albania,2021-06-21,deaths,2.0,17
Albania,2021-06-28,deaths,0.0,18
Albania,2021-07-05,deaths,0.0,19
Albania,2021-07-12,deaths,0.0,20
Albania,2021-07-19,deaths,0.0,21
Albania,2021-07-26,deaths,1.0,22
Albania,2021-08-02,deaths,2.0,23
Albania,2021-08-09,deaths,5.0,24
Albania,2021-08-16,deaths,14.0,25
Albania,2021-08-23,deaths,14.0,26
Albania,2021-08-30,deaths,23.0,27
Albania,2021-09-06,deaths,28.0,28
Albania,2021-09-13,deaths,37.0,29
Albania,2021-09-20,deaths,60.0,30
Albania,2021-09-27,deaths,73.0,31
Albania,2021-10-04,deaths,55.0,32
Albania,2021-10-11,deaths,52.0,33
Albania,2021-10-18,deaths,54.0,34
Albania,2021-10-25,deaths,50.0,35
Albania,2021-11-01,deaths,31.0,36
Albania,2021-11-08,deaths,35.0,37
Albania,2021-11-15,deaths,50.0,38
Albania,2021-11-22,deaths,49.0,39
Albania,2021-11-29,deaths,21.0,40
Albania,2021-12-06,deaths,24.0,41
Albania,2021-12-13,deaths,32.0,42
Albania,2021-12-27,deaths,0.0,43
Albania,2022-01-03,deaths,20.0,44
Albania,2022-01-10,deaths,29.0,45
Albania,2022-01-17,deaths,36.0,46
Albania,2022-01-24,deaths,41.0,47
Albania,2022-01-31,deaths,34.0,48
