country,year_week,indicator,weekly_count,week
Albania,2020-03-09,deaths,0.0,1
Albania,2020-03-16,deaths,1.0,2
Albania,2020-03-23,deaths,1.0,3
Albania,2020-03-30,deaths,8.0,4
Albania,2020-04-06,deaths,11.0,5
Albania,2020-04-13,deaths,2.0,6
Albania,2020-04-20,deaths,3.0,7
Albania,2020-04-27,deaths,2.0,8
Albania,2020-05-04,deaths,3.0,9
Albania,2020-05-11,deaths,0.0,10
Albania,2020-05-18,deaths,0.0,11
Albania,2020-05-25,deaths,1.0,12
Albania,2020-06-01,deaths,1.0,13
Albania,2020-06-08,deaths,1.0,14
Albania,2020-06-15,deaths,2.0,15
Albania,2020-06-22,deaths,8.0,16
Albania,2020-06-29,deaths,11.0,17
Albania,2020-07-06,deaths,21.0,18
Albania,2020-07-13,deaths,17.0,19
Albania,2020-07-20,deaths,19.0,20
Albania,2020-07-27,deaths,26.0,21
Albania,2020-08-03,deaths,28.0,22
Albania,2020-08-10,deaths,33.0,23
Albania,2020-08-17,deaths,29.0,24
Albania,2020-08-24,deaths,22.0,25
Albania,2020-08-31,deaths,30.0,26
Albania,2020-09-07,deaths,36.0,27
Albania,2020-09-14,deaths,18.0,28
Albania,2020-09-21,deaths,28.0,29
Albania,2020-09-28,deaths,15.0,30
Albania,2020-10-05,deaths,19.0,31
Albania,2020-10-12,deaths,24.0,32
Albania,2020-10-19,deaths,31.0,33
Albania,2020-10-26,deaths,26.0,34
Albania,2020-11-02,deaths,41.0,35
Albania,2020-11-09,deaths,41.0,36
Albania,2020-11-16,deaths,64.0,37
Albania,2020-11-23,deaths,76.0,38
Albania,2020-11-30,deaths,99.0,39
Albania,2020-12-07,deaths,107.0,40
Albania,2020-12-14,deaths,98.0,41
Albania,2020-12-21,deaths,85.0,42
Albania,2020-12-28,deaths,76.0,43
Albania,2021-01-04,deaths,29.0,44
Albania,2021-01-04,deaths,48.0,45
Albania,2021-01-11,deaths,36.0,46
Albania,2021-01-18,deaths,38.0,47
Albania,2021-01-25,deaths,65.0,48
Albania,2021-02-01,deaths,80.0,49
Albania,2021-02-08,deaths,95.0,50
Albania,2021-02-15,deaths,111.0,51
Albania,2021-02-22,deaths,130.0,52
Andorra,2020-03-16,deaths,0.0,1
Andorra,2020-03-23,deaths,0.0,2
Andorra,2020-03-30,deaths,6.0,3
Andorra,2020-04-06,deaths,12.0,4
Andorra,2020-04-13,deaths,11.0,5
Andorra,2020-04-20,deaths,7.0,6
Andorra,2020-04-27,deaths,4.0,7
Andorra,2020-05-04,deaths,5.0,8
Andorra,2020-05-11,deaths,3.0,9
Andorra,2020-05-18,deaths,3.0,10
Andorra,2020-05-25,deaths,0.0,11
Andorra,2020-06-01,deaths,0.0,12
Andorra,2020-06-08,deaths,0.0,13
Andorra,2020-06-15,deaths,0.0,14
Andorra,2020-06-22,deaths,1.0,15
Andorra,2020-06-29,deaths,0.0,16
Andorra,2020-07-06,deaths,0.0,17
Andorra,2020-07-13,deaths,0.0,18
Andorra,2020-07-20,deaths,0.0,19
Andorra,2020-07-27,deaths,0.0,20
Andorra,2020-08-03,deaths,0.0,21
Andorra,2020-08-10,deaths,0.0,22
Andorra,2020-08-17,deaths,1.0,23
Andorra,2020-08-24,deaths,0.0,24
Andorra,2020-08-31,deaths,0.0,25
Andorra,2020-09-07,deaths,0.0,26
Andorra,2020-09-14,deaths,0.0,27
Andorra,2020-09-21,deaths,0.0,28
Andorra,2020-09-28,deaths,0.0,29
Andorra,2020-10-05,deaths,0.0,30
Andorra,2020-10-12,deaths,2.0,31
Andorra,2020-10-19,deaths,4.0,32
Andorra,2020-10-26,deaths,10.0,33
Andorra,2020-11-02,deaths,6.0,34
Andorra,2020-11-09,deaths,0.0,35
Andorra,2020-11-16,deaths,1.0,36
Andorra,2020-11-23,deaths,0.0,37
Andorra,2020-11-30,deaths,0.0,38
Andorra,2020-12-07,deaths,2.0,39
Andorra,2020-12-14,deaths,1.0,40
Andorra,2020-12-21,deaths,2.0,41
Andorra,2020-12-28,deaths,1.0,42
Andorra,2021-01-04,deaths,2.0,43
Andorra,2021-01-04,deaths,2.0,44
Andorra,2021-01-11,deaths,5.0,45
Andorra,2021-01-18,deaths,5.0,46
Andorra,2021-01-25,deaths,5.0,47
Andorra,2021-02-01,deaths,5.0,48
Andorra,2021-02-08,deaths,1.0,49
Andorra,2021-02-15,deaths,0.0,50
Andorra,2021-02-22,deaths,3.0,51
Armenia,2020-01-06,deaths,0.0,1
Armenia,2020-01-13,deaths,0.0,2
Armenia,2020-01-20,deaths,0.0,3
Armenia,2020-01-27,deaths,0.0,4
Armenia,2020-02-03,deaths,0.0,5
Armenia,2020-02-10,deaths,0.0,6
Armenia,2020-02-17,deaths,0.0,7
Armenia,2020-02-24,deaths,0.0,8
Armenia,2020-03-02,deaths,0.0,9
Armenia,2020-03-09,deaths,0.0,10
Armenia,2020-03-16,deaths,0.0,11
Armenia,2020-03-23,deaths,0.0,12
Armenia,2020-03-30,deaths,3.0,13
Armenia,2020-04-06,deaths,5.0,14
Armenia,2020-04-13,deaths,6.0,15
Armenia,2020-04-20,deaths,8.0,16
Armenia,2020-04-27,deaths,7.0,17
Armenia,2020-05-04,deaths,10.0,18
Armenia,2020-05-11,deaths,7.0,19
Armenia,2020-05-18,deaths,15.0,20
Armenia,2020-05-25,deaths,26.0,21
Armenia,2020-06-01,deaths,52.0,22
Armenia,2020-06-08,deaths,72.0,23
Armenia,2020-06-15,deaths,74.0,24
Armenia,2020-06-22,deaths,75.0,25
Armenia,2020-06-29,deaths,73.0,26
Armenia,2020-07-06,deaths,58.0,27
Armenia,2020-07-13,deaths,82.0,28
Armenia,2020-07-20,deaths,77.0,29
Armenia,2020-07-27,deaths,61.0,30
Armenia,2020-08-03,deaths,51.0,31
Armenia,2020-08-10,deaths,29.0,32
Armenia,2020-08-17,deaths,27.0,33
Armenia,2020-08-24,deaths,34.0,34
Armenia,2020-08-31,deaths,25.0,35
Armenia,2020-09-07,deaths,20.0,36
Armenia,2020-09-14,deaths,19.0,37
Armenia,2020-09-21,deaths,14.0,38
Armenia,2020-09-28,deaths,21.0,39
Armenia,2020-10-05,deaths,26.0,40
Armenia,2020-10-12,deaths,43.0,41
Armenia,2020-10-19,deaths,61.0,42
Armenia,2020-10-26,deaths,115.0,43
Armenia,2020-11-02,deaths,195.0,44
Armenia,2020-11-09,deaths,189.0,45
Armenia,2020-11-16,deaths,208.0,46
Armenia,2020-11-23,deaths,188.0,47
Armenia,2020-11-30,deaths,188.0,48
Armenia,2020-12-07,deaths,180.0,49
Armenia,2020-12-14,deaths,159.0,50
Armenia,2020-12-21,deaths,153.0,51
Armenia,2020-12-28,deaths,119.0,52
Armenia,2021-01-04,deaths,89.0,53
Armenia,2021-01-04,deaths,67.0,54
Armenia,2021-01-11,deaths,67.0,55
Armenia,2021-01-18,deaths,49.0,56
Armenia,2021-01-25,deaths,37.0,57
Armenia,2021-02-01,deaths,39.0,58
Armenia,2021-02-08,deaths,24.0,59
Armenia,2021-02-15,deaths,17.0,60
Armenia,2021-02-22,deaths,31.0,61
Austria,2020-01-06,deaths,0.0,1
Austria,2020-01-13,deaths,0.0,2
Austria,2020-01-20,deaths,0.0,3
Austria,2020-01-27,deaths,0.0,4
Austria,2020-02-03,deaths,0.0,5
Austria,2020-02-10,deaths,0.0,6
Austria,2020-02-17,deaths,0.0,7
Austria,2020-02-24,deaths,0.0,8
Austria,2020-03-02,deaths,0.0,9
Austria,2020-03-09,deaths,0.0,10
Austria,2020-03-16,deaths,2.0,11
Austria,2020-03-23,deaths,31.0,12
Austria,2020-03-30,deaths,101.0,13
Austria,2020-04-06,deaths,125.0,14
Austria,2020-04-13,deaths,150.0,15
Austria,2020-04-20,deaths,118.0,16
Austria,2020-04-27,deaths,75.0,17
Austria,2020-05-04,deaths,42.0,18
Austria,2020-05-11,deaths,24.0,19
Austria,2020-05-18,deaths,9.0,20
Austria,2020-05-25,deaths,14.0,21
Austria,2020-06-01,deaths,4.0,22
Austria,2020-06-08,deaths,7.0,23
Austria,2020-06-15,deaths,8.0,24
Austria,2020-06-22,deaths,12.0,25
Austria,2020-06-29,deaths,9.0,26
Austria,2020-07-06,deaths,2.0,27
Austria,2020-07-13,deaths,3.0,28
Austria,2020-07-20,deaths,2.0,29
Austria,2020-07-27,deaths,4.0,30
Austria,2020-08-03,deaths,5.0,31
Austria,2020-08-10,deaths,4.0,32
Austria,2020-08-17,deaths,6.0,33
Austria,2020-08-24,deaths,3.0,34
Austria,2020-08-31,deaths,1.0,35
Austria,2020-09-07,deaths,4.0,36
Austria,2020-09-14,deaths,11.0,37
Austria,2020-09-21,deaths,15.0,38
Austria,2020-09-28,deaths,25.0,39
Austria,2020-10-05,deaths,30.0,40
Austria,2020-10-12,deaths,50.0,41
Austria,2020-10-19,deaths,57.0,42
Austria,2020-10-26,deaths,102.0,43
Austria,2020-11-02,deaths,234.0,44
Austria,2020-11-09,deaths,365.0,45
Austria,2020-11-16,deaths,549.0,46
Austria,2020-11-23,deaths,671.0,47
Austria,2020-11-30,deaths,729.0,48
Austria,2020-12-07,deaths,776.0,49
Austria,2020-12-14,deaths,696.0,50
Austria,2020-12-21,deaths,587.0,51
Austria,2020-12-28,deaths,460.0,52
Austria,2021-01-04,deaths,397.0,53
Austria,2021-01-04,deaths,347.0,54
Austria,2021-01-11,deaths,360.0,55
Austria,2021-01-18,deaths,297.0,56
Austria,2021-01-25,deaths,292.0,57
Austria,2021-02-01,deaths,220.0,58
Austria,2021-02-08,deaths,180.0,59
Austria,2021-02-15,deaths,151.0,60
Austria,2021-02-22,deaths,147.0,61
Azerbaijan,2020-01-06,deaths,0.0,1
Azerbaijan,2020-01-13,deaths,0.0,2
Azerbaijan,2020-01-20,deaths,0.0,3
Azerbaijan,2020-01-27,deaths,0.0,4
Azerbaijan,2020-02-03,deaths,0.0,5
Azerbaijan,2020-02-10,deaths,0.0,6
Azerbaijan,2020-02-17,deaths,0.0,7
Azerbaijan,2020-02-24,deaths,0.0,8
Azerbaijan,2020-03-02,deaths,0.0,9
Azerbaijan,2020-03-09,deaths,0.0,10
Azerbaijan,2020-03-16,deaths,0.0,11
Azerbaijan,2020-03-23,deaths,1.0,12
Azerbaijan,2020-03-30,deaths,3.0,13
Azerbaijan,2020-04-06,deaths,3.0,14
Azerbaijan,2020-04-13,deaths,4.0,15
Azerbaijan,2020-04-20,deaths,8.0,16
Azerbaijan,2020-04-27,deaths,2.0,17
Azerbaijan,2020-05-04,deaths,4.0,18
Azerbaijan,2020-05-11,deaths,7.0,19
Azerbaijan,2020-05-18,deaths,7.0,20
Azerbaijan,2020-05-25,deaths,10.0,21
Azerbaijan,2020-06-01,deaths,14.0,22
Azerbaijan,2020-06-08,deaths,25.0,23
Azerbaijan,2020-06-15,deaths,31.0,24
Azerbaijan,2020-06-22,deaths,35.0,25
Azerbaijan,2020-06-29,deaths,44.0,26
Azerbaijan,2020-07-06,deaths,52.0,27
Azerbaijan,2020-07-13,deaths,56.0,28
Azerbaijan,2020-07-20,deaths,48.0,29
Azerbaijan,2020-07-27,deaths,63.0,30
Azerbaijan,2020-08-03,deaths,45.0,31
Azerbaijan,2020-08-10,deaths,28.0,32
Azerbaijan,2020-08-17,deaths,16.0,33
Azerbaijan,2020-08-24,deaths,12.0,34
Azerbaijan,2020-08-31,deaths,13.0,35
Azerbaijan,2020-09-07,deaths,17.0,36
Azerbaijan,2020-09-14,deaths,14.0,37
Azerbaijan,2020-09-21,deaths,13.0,38
Azerbaijan,2020-09-28,deaths,11.0,39
Azerbaijan,2020-10-05,deaths,10.0,40
Azerbaijan,2020-10-12,deaths,13.0,41
Azerbaijan,2020-10-19,deaths,17.0,42
Azerbaijan,2020-10-26,deaths,45.0,43
Azerbaijan,2020-11-02,deaths,69.0,44
Azerbaijan,2020-11-09,deaths,100.0,45
Azerbaijan,2020-11-16,deaths,127.0,46
Azerbaijan,2020-11-23,deaths,164.0,47
Azerbaijan,2020-11-30,deaths,230.0,48
Azerbaijan,2020-12-07,deaths,271.0,49
Azerbaijan,2020-12-14,deaths,290.0,50
Azerbaijan,2020-12-21,deaths,288.0,51
Azerbaijan,2020-12-28,deaths,328.0,52
Azerbaijan,2021-01-04,deaths,195.0,53
Azerbaijan,2021-01-04,deaths,193.0,54
Azerbaijan,2021-01-11,deaths,96.0,55
Azerbaijan,2021-01-18,deaths,71.0,56
Azerbaijan,2021-01-25,deaths,39.0,57
Azerbaijan,2021-02-01,deaths,26.0,58
Azerbaijan,2021-02-08,deaths,25.0,59
Azerbaijan,2021-02-15,deaths,19.0,60
Azerbaijan,2021-02-22,deaths,21.0,61
Belarus,2020-01-06,deaths,0.0,1
Belarus,2020-01-13,deaths,0.0,2
Belarus,2020-01-20,deaths,0.0,3
Belarus,2020-01-27,deaths,0.0,4
Belarus,2020-02-03,deaths,0.0,5
Belarus,2020-02-10,deaths,0.0,6
Belarus,2020-02-17,deaths,0.0,7
Belarus,2020-02-24,deaths,0.0,8
Belarus,2020-03-02,deaths,0.0,9
Belarus,2020-03-09,deaths,0.0,10
Belarus,2020-03-16,deaths,0.0,11
Belarus,2020-03-23,deaths,0.0,12
Belarus,2020-03-30,deaths,0.0,13
Belarus,2020-04-06,deaths,8.0,14
Belarus,2020-04-13,deaths,18.0,15
Belarus,2020-04-20,deaths,21.0,16
Belarus,2020-04-27,deaths,25.0,17
Belarus,2020-05-04,deaths,27.0,18
Belarus,2020-05-11,deaths,32.0,19
Belarus,2020-05-18,deaths,34.0,20
Belarus,2020-05-25,deaths,34.0,21
Belarus,2020-06-01,deaths,36.0,22
Belarus,2020-06-08,deaths,34.0,23
Belarus,2020-06-15,deaths,39.0,24
Belarus,2020-06-22,deaths,38.0,25
Belarus,2020-06-29,deaths,37.0,26
Belarus,2020-07-06,deaths,40.0,27
Belarus,2020-07-13,deaths,41.0,28
Belarus,2020-07-20,deaths,35.0,29
Belarus,2020-07-27,deaths,35.0,30
Belarus,2020-08-03,deaths,33.0,31
Belarus,2020-08-10,deaths,20.0,32
Belarus,2020-08-17,deaths,23.0,33
Belarus,2020-08-24,deaths,32.0,34
Belarus,2020-08-31,deaths,34.0,35
Belarus,2020-09-07,deaths,35.0,36
Belarus,2020-09-14,deaths,39.0,37
Belarus,2020-09-21,deaths,30.0,38
Belarus,2020-09-28,deaths,38.0,39
Belarus,2020-10-05,deaths,39.0,40
Belarus,2020-10-12,deaths,39.0,41
Belarus,2020-10-19,deaths,33.0,42
Belarus,2020-10-26,deaths,28.0,43
Belarus,2020-11-02,deaths,28.0,44
Belarus,2020-11-09,deaths,22.0,45
Belarus,2020-11-16,deaths,39.0,46
Belarus,2020-11-23,deaths,50.0,47
Belarus,2020-11-30,deaths,55.0,48
Belarus,2020-12-07,deaths,56.0,49
Belarus,2020-12-14,deaths,56.0,50
Belarus,2020-12-21,deaths,61.0,51
Belarus,2020-12-28,deaths,70.0,52
Belarus,2021-01-04,deaths,57.0,53
Belarus,2021-01-04,deaths,75.0,54
Belarus,2021-01-11,deaths,65.0,55
Belarus,2021-01-18,deaths,58.0,56
Belarus,2021-01-25,deaths,69.0,57
Belarus,2021-02-01,deaths,65.0,58
Belarus,2021-02-08,deaths,66.0,59
Belarus,2021-02-15,deaths,72.0,60
Belarus,2021-02-22,deaths,64.0,61
Belgium,2020-01-06,deaths,0.0,1
Belgium,2020-01-13,deaths,0.0,2
Belgium,2020-01-20,deaths,0.0,3
Belgium,2020-01-27,deaths,0.0,4
Belgium,2020-02-03,deaths,0.0,5
Belgium,2020-02-10,deaths,0.0,6
Belgium,2020-02-17,deaths,0.0,7
