country,year_week,weekly_count
Albania,2020-03-09,2.0
Albania,2020-03-16,40.0
Albania,2020-03-23,47.0
Albania,2020-03-30,123.0
Albania,2020-04-06,149.0
Albania,2020-04-13,85.0
Albania,2020-04-20,116.0
Albania,2020-04-27,164.0
Albania,2020-05-04,69.0
Albania,2020-05-11,73.0
Albania,2020-05-18,78.0
Albania,2020-05-25,52.0
Albania,2020-06-01,139.0
Albania,2020-06-08,109.0
Albania,2020-06-15,275.0
Albania,2020-06-22,406.0
Albania,2020-06-29,475.0
Albania,2020-07-06,491.0
Albania,2020-07-13,561.0
Albania,2020-07-20,636.0
Albania,2020-07-27,673.0
Albania,2020-08-03,756.0
Albania,2020-08-10,892.0
Albania,2020-08-17,969.0
Albania,2020-08-24,1047.0
Albania,2020-08-31,953.0
Albania,2020-09-07,875.0
Albania,2020-09-14,1098.0
Albania,2020-09-21,1032.0
Albania,2020-09-28,874.0
Albania,2020-10-05,1007.0
Albania,2020-10-12,1133.0
Albania,2020-10-19,1656.0
Albania,2020-10-26,2102.0
Albania,2020-11-02,2045.0
Albania,2020-11-09,3004.0
Albania,2020-11-16,3624.0
Albania,2020-11-23,4931.0
Albania,2020-11-30,4864.0
Albania,2020-12-07,5363.0
Albania,2020-12-14,5542.0
Albania,2020-12-21,4473.0
Albania,2020-12-28,3569.0
Albania,2021-01-04,7023.0
Albania,2021-01-11,4095.0
Albania,2021-01-18,4584.0
Albania,2021-01-25,5853.0
Albania,2021-02-01,7209.0
Albania,2021-02-08,7739.0
Albania,2021-02-15,7171.0
Albania,2021-02-22,6921.0
Albania,2021-03-01,5730.0
Albania,2021-03-08,4577.0
Albania,2021-03-15,3726.0
Albania,2021-03-22,2934.0
Albania,2021-03-29,2397.0
Albania,2021-04-05,1862.0
Albania,2021-04-12,1201.0
Albania,2021-04-19,943.0
Albania,2021-04-26,701.0
Albania,2021-05-03,485.0
Albania,2021-05-10,292.0
Albania,2021-05-17,194.0
Albania,2021-05-24,100.0
Albania,2021-05-31,70.0
Albania,2021-06-07,82.0
Albania,2021-06-14,29.0
Albania,2021-06-21,22.0
Albania,2021-06-28,23.0
Albania,2021-07-05,57.0
Albania,2021-07-12,94.0
Albania,2021-07-19,171.0
Albania,2021-07-26,264.0
Albania,2021-08-02,791.0
Albania,2021-08-09,2035.0
Albania,2021-08-16,3377.0
Albania,2021-08-23,5523.0
Albania,2021-08-30,6150.0
Albania,2021-09-06,6029.0
Albania,2021-09-13,5927.0
Albania,2021-09-20,4940.0
Albania,2021-09-27,3901.0
Albania,2021-10-04,3174.0
Albania,2021-10-11,3003.0
Albania,2021-10-18,3725.0
Albania,2021-10-25,3604.0
Albania,2021-11-01,3825.0
Albania,2021-11-08,3950.0
Albania,2021-11-15,3318.0
Albania,2021-11-22,3162.0
Albania,2021-11-29,2175.0
Albania,2021-12-06,2057.0
Albania,2021-12-13,1990.0
Albania,2021-12-27,0.0
Albania,2022-01-03,8809.0
Albania,2022-01-10,12943.0
Albania,2022-01-17,15433.0
Albania,2022-01-24,10473.0
Albania,2022-01-31,6081.0
Albania,2022-02-07,3384.0
Albania,2022-02-14,2362.0
Albania,2022-02-21,1157.0
Albania,2022-02-28,683.0
Albania,2022-03-07,453.0
Albania,2022-03-14,425.0
Albania,2022-03-21,344.0
Albania,2022-03-28,438.0
Albania,2022-04-04,349.0
Albania,2022-04-11,285.0
Albania,2022-04-18,324.0
Albania,2022-04-25,339.0
Albania,2022-05-02,199.0
Albania,2022-05-09,249.0
Albania,2022-05-16,249.0
Albania,2022-05-23,237.0
Albania,2022-05-30,300.0
Albania,2022-06-06,330.0
Andorra,2020-03-16,5.0
Andorra,2020-03-23,108.0
Andorra,2020-03-30,221.0
Andorra,2020-04-06,167.0
Andorra,2020-04-13,137.0
Andorra,2020-04-20,75.0
Andorra,2020-04-27,27.0
Andorra,2020-05-04,8.0
Andorra,2020-05-11,7.0
Andorra,2020-05-18,6.0
Andorra,2020-05-25,2.0
Andorra,2020-06-01,1.0
Andorra,2020-06-08,88.0
Andorra,2020-06-15,1.0
Andorra,2020-06-22,2.0
Andorra,2020-06-29,0.0
Andorra,2020-07-06,0.0
Andorra,2020-07-13,0.0
Andorra,2020-07-20,25.0
Andorra,2020-07-27,17.0
Andorra,2020-08-03,28.0
Andorra,2020-08-10,31.0
Andorra,2020-08-17,33.0
Andorra,2020-08-24,56.0
Andorra,2020-08-31,79.0
Andorra,2020-09-07,91.0
Andorra,2020-09-14,129.0
Andorra,2020-09-21,220.0
Andorra,2020-09-28,272.0
Andorra,2020-10-05,274.0
Andorra,2020-10-12,586.0
Andorra,2020-10-19,681.0
Andorra,2020-10-26,661.0
Andorra,2020-11-02,787.0
Andorra,2020-11-09,558.0
Andorra,2020-11-16,489.0
Andorra,2020-11-23,384.0
Andorra,2020-11-30,456.0
Andorra,2020-12-07,338.0
Andorra,2020-12-14,288.0
Andorra,2020-12-21,239.0
Andorra,2020-12-28,10.0
Andorra,2021-01-04,1095.0
Andorra,2021-01-11,401.0
Andorra,2021-01-18,466.0
Andorra,2021-01-25,388.0
Andorra,2021-02-01,314.0
Andorra,2021-02-08,287.0
Andorra,2021-02-15,161.0
Andorra,2021-02-22,190.0
Andorra,2021-03-01,180.0
Andorra,2021-03-08,157.0
Andorra,2021-03-15,319.0
Andorra,2021-03-22,305.0
Andorra,2021-03-29,381.0
Andorra,2021-04-05,350.0
Andorra,2021-04-12,224.0
Andorra,2021-04-19,278.0
Andorra,2021-04-26,212.0
Andorra,2021-05-03,128.0
Andorra,2021-05-10,87.0
Andorra,2021-05-17,99.0
Andorra,2021-05-24,118.0
Andorra,2021-05-31,50.0
Andorra,2021-06-07,36.0
Andorra,2021-06-14,51.0
Andorra,2021-06-21,18.0
Andorra,2021-06-28,109.0
Andorra,2021-07-05,164.0
Andorra,2021-07-12,204.0
Andorra,2021-07-19,218.0
Andorra,2021-07-26,170.0
Andorra,2021-08-02,129.0
Andorra,2021-08-09,78.0
Andorra,2021-08-16,48.0
Andorra,2021-08-23,30.0
Andorra,2021-08-30,37.0
Andorra,2021-09-06,14.0
Andorra,2021-09-13,57.0
Andorra,2021-09-20,49.0
Andorra,2021-09-27,78.0
Andorra,2021-10-04,40.0
Andorra,2021-10-11,60.0
Andorra,2021-10-18,58.0
Andorra,2021-10-25,91.0
Andorra,2021-11-01,189.0
Andorra,2021-11-08,202.0
Andorra,2021-11-15,392.0
Andorra,2021-11-22,816.0
Andorra,2021-11-29,1516.0
Andorra,2021-12-06,1336.0
Andorra,2021-12-13,1095.0
Andorra,2021-12-27,0.0
Andorra,2022-01-03,3481.0
Andorra,2022-01-10,1905.0
Andorra,2022-01-17,3137.0
Andorra,2022-01-24,2933.0
Andorra,2022-01-31,850.0
Andorra,2022-02-07,469.0
Andorra,2022-02-14,312.0
Andorra,2022-02-21,410.0
Andorra,2022-02-28,621.0
Andorra,2022-03-07,174.0
Andorra,2022-03-14,440.0
Andorra,2022-03-21,479.0
Andorra,2022-03-28,311.0
Andorra,2022-04-04,304.0
Andorra,2022-04-11,381.0
Andorra,2022-04-18,304.0
Andorra,2022-04-25,336.0
Andorra,2022-05-02,368.0
Andorra,2022-05-09,439.0
Andorra,2022-05-16,416.0
Andorra,2022-05-23,322.0
Andorra,2022-05-30,173.0
Andorra,2022-06-06,157.0
Armenia,2020-01-06,0.0
Armenia,2020-01-13,0.0
Armenia,2020-01-20,0.0
Armenia,2020-01-27,0.0
Armenia,2020-02-03,0.0
Armenia,2020-02-10,0.0
Armenia,2020-02-17,0.0
Armenia,2020-02-24,0.0
Armenia,2020-03-02,1.0
Armenia,2020-03-09,0.0
Armenia,2020-03-16,27.0
Armenia,2020-03-23,166.0
Armenia,2020-03-30,288.0
Armenia,2020-04-06,351.0
Armenia,2020-04-13,206.0
Armenia,2020-04-20,300.0
Armenia,2020-04-27,469.0
Armenia,2020-05-04,699.0
Armenia,2020-05-11,885.0
Armenia,2020-05-18,1431.0
Armenia,2020-05-25,2290.0
Armenia,2020-06-01,2379.0
Armenia,2020-06-08,3833.0
Armenia,2020-06-15,3739.0
Armenia,2020-06-22,3524.0
Armenia,2020-06-29,4539.0
Armenia,2020-07-06,3809.0
Armenia,2020-07-13,3215.0
Armenia,2020-07-20,2830.0
Armenia,2020-07-27,2409.0
Armenia,2020-08-03,1712.0
Armenia,2020-08-10,1308.0
Armenia,2020-08-17,1253.0
Armenia,2020-08-24,1129.0
Armenia,2020-08-31,958.0
Armenia,2020-09-07,1033.0
Armenia,2020-09-14,1079.0
Armenia,2020-09-21,1569.0
Armenia,2020-09-28,1969.0
Armenia,2020-10-05,3096.0
Armenia,2020-10-12,3955.0
Armenia,2020-10-19,8243.0
Armenia,2020-10-26,14116.0
Armenia,2020-11-02,14638.0
Armenia,2020-11-09,14018.0
Armenia,2020-11-16,10420.0
Armenia,2020-11-23,8823.0
Armenia,2020-11-30,8415.0
Armenia,2020-12-07,7220.0
Armenia,2020-12-14,6338.0
Armenia,2020-12-21,5383.0
Armenia,2020-12-28,3883.0
Armenia,2021-01-04,4340.0
Armenia,2021-01-11,2388.0
Armenia,2021-01-18,1418.0
Armenia,2021-01-25,994.0
Armenia,2021-02-01,1089.0
Armenia,2021-02-08,1078.0
Armenia,2021-02-15,1147.0
Armenia,2021-02-22,1814.0
Armenia,2021-03-01,2800.0
Armenia,2021-03-08,3686.0
Armenia,2021-03-15,5517.0
Armenia,2021-03-22,6522.0
Armenia,2021-03-29,6372.0
Armenia,2021-04-05,6214.0
Armenia,2021-04-12,5491.0
Armenia,2021-04-19,4651.0
Armenia,2021-04-26,3539.0
Armenia,2021-05-03,2345.0
Armenia,2021-05-10,1574.0
Armenia,2021-05-17,1055.0
Armenia,2021-05-24,688.0
Armenia,2021-05-31,542.0
Armenia,2021-06-07,511.0
Armenia,2021-06-14,530.0
Armenia,2021-06-21,598.0
Armenia,2021-06-28,755.0
Armenia,2021-07-05,853.0
Armenia,2021-07-12,1063.0
Armenia,2021-07-19,1388.0
Armenia,2021-07-26,1566.0
Armenia,2021-08-02,1821.0
Armenia,2021-08-09,2517.0
Armenia,2021-08-16,3071.0
Armenia,2021-08-23,3726.0
Armenia,2021-08-30,3653.0
Armenia,2021-09-06,3882.0
Armenia,2021-09-13,4796.0
Armenia,2021-09-20,4603.0
Armenia,2021-09-27,6772.0
Armenia,2021-10-04,7640.0
Armenia,2021-10-11,10226.0
Armenia,2021-10-18,13369.0
Armenia,2021-10-25,12845.0
Armenia,2021-11-01,11846.0
Armenia,2021-11-08,8098.0
Armenia,2021-11-15,5006.0
Armenia,2021-11-22,3773.0
Armenia,2021-11-29,2698.0
Armenia,2021-12-06,1786.0
Armenia,2021-12-13,1104.0
Armenia,2021-12-27,0.0
