Country       ,Response_measure                            ,date_start ,date_end   ,stringency_score    ,intervention_duration ,intervention_category ,stringency_category
Austria       ,AdaptationOfWorkplace                       ,2020-03-16 ,2020-04-13 , 20.0               ,                   28 ,Workplace             ,Low
Austria       ,AdaptationOfWorkplace                       ,2021-04-01 ,2022-03-05 , 20.0               ,                  338 ,Workplace             ,Low
Austria       ,BanOnAllEvents                              ,2020-11-03 ,2021-05-18 , 75.0               ,                  196 ,Events                ,High
Austria       ,ClosDaycare                                 ,2020-03-16 ,2020-05-04 , 20.0               ,                   49 ,Education             ,Low
Austria       ,ClosHigh                                    ,2020-03-16 ,2020-09-30 , 20.0               ,                  198 ,Education             ,Low
Austria       ,ClosHighPartial                             ,2020-11-03 ,2022-02-28 , 20.0               ,                  482 ,Education             ,Low
Austria       ,ClosPrim                                    ,2020-11-17 ,2020-12-07 , 20.0               ,                   20 ,Education             ,Low
Austria       ,ClosPrim                                    ,2020-12-26 ,2021-02-07 , 20.0               ,                   43 ,Education             ,Low
Austria       ,ClosPrimPartial                             ,2020-03-16 ,2020-05-18 , 20.0               ,                   63 ,Education             ,Low
Austria       ,ClosPubAny                                  ,2020-03-16 ,2020-04-13 , 20.0               ,                   28 ,Public Space          ,Low
Austria       ,ClosPubAny                                  ,2020-05-02 ,2020-05-14 , 20.0               ,                   12 ,Public Space          ,Low
Austria       ,ClosPubAny                                  ,2020-11-16 ,2020-12-06 , 20.0               ,                   20 ,Public Space          ,Low
Austria       ,ClosPubAny                                  ,2020-12-28 ,2021-02-06 , 20.0               ,                   40 ,Public Space          ,Low
Austria       ,ClosPubAnyPartial                           ,2020-04-14 ,2020-05-01 , 20.0               ,                   17 ,Public Space          ,Low
Austria       ,ClosPubAnyPartial                           ,2020-05-15 ,2020-11-15 , 20.0               ,                  184 ,Public Space          ,Low
Austria       ,ClosPubAnyPartial                           ,2020-12-07 ,2020-12-27 , 20.0               ,                   20 ,Public Space          ,Low
Austria       ,ClosPubAnyPartial                           ,2021-02-07 ,2022-03-05 , 20.0               ,                  391 ,Public Space          ,Low
Austria       ,ClosSec                                     ,2020-11-03 ,2021-02-07 , 20.0               ,                   96 ,Education             ,Low
Austria       ,ClosSecPartial                              ,2020-03-16 ,2020-06-03 , 20.0               ,                   79 ,Education             ,Low
Austria       ,ClosSecPartial                              ,2021-02-08 ,2021-05-16 , 20.0               ,                   97 ,Education             ,Low
Austria       ,EntertainmentVenues                         ,2020-03-16 ,2020-04-30 , 20.0               ,                   45 ,Public Space          ,Low
Austria       ,EntertainmentVenues                         ,2020-11-03 ,2021-02-07 , 20.0               ,                   96 ,Public Space          ,Low
Austria       ,EntertainmentVenuesPartial                  ,2021-02-08 ,2022-03-04 , 20.0               ,                  389 ,Public Space          ,Low
Austria       ,GymsSportsCentres                           ,2020-11-03 ,2021-05-18 , 20.0               ,                  196 ,Public Space          ,Low
Austria       ,GymsSportsCentresPartial                    ,2021-05-19 ,2022-03-04 , 20.0               ,                  289 ,Public Space          ,Low
Austria       ,HotelsOtherAccommodation                    ,2020-03-31 ,2020-05-29 , 20.0               ,                   59 ,Business              ,Low
Austria       ,HotelsOtherAccommodation                    ,2020-11-03 ,2021-05-18 , 20.0               ,                  196 ,Business              ,Low
Austria       ,HotelsOtherAccommodationPartial             ,2021-05-19 ,2022-03-04 , 20.0               ,                  289 ,Business              ,Low
Austria       ,IndoorOver100                               ,2020-03-11 ,2020-06-30 , 20.0               ,                  111 ,Gathering             ,Low
Austria       ,IndoorOver1000                              ,2020-08-01 ,2020-09-13 , 20.0               ,                   43 ,Gathering             ,Low
Austria       ,IndoorOver50                                ,2020-09-14 ,2020-11-02 , 20.0               ,                   49 ,Gathering             ,Low
Austria       ,IndoorOver500                               ,2020-07-01 ,2020-07-31 , 20.0               ,                   30 ,Gathering             ,Low
Austria       ,IndoorOver500                               ,2021-12-12 ,2022-03-04 , 20.0               ,                   82 ,Gathering             ,Low
Austria       ,MasksMandatoryAllSpaces                     ,2020-09-14 ,2021-06-09 , 85.0               ,                  268 ,Masks                 ,High
Austria       ,MasksMandatoryAllSpacesPartial              ,2022-01-11 ,2022-03-04 , 42.5               ,                   52 ,Masks                 ,Low
Austria       ,MasksMandatoryClosedSpaces                  ,2021-06-10 ,2022-01-10 , 20.0               ,                  214 ,Masks                 ,Low
Austria       ,MasksMandatoryClosedSpacesPartial           ,2020-06-15 ,2020-07-08 , 20.0               ,                   23 ,Masks                 ,Low
Austria       ,MasksVoluntaryClosedSpacesPartial           ,2020-03-31 ,2020-04-05 , 20.0               ,                    5 ,Masks                 ,Low
Austria       ,MassGather50                                ,2020-11-03 ,2021-05-18 , 20.0               ,                  196 ,Gathering             ,Low
Austria       ,MassGather50Partial                         ,2020-09-14 ,2020-11-02 , 20.0               ,                   49 ,Gathering             ,Low
Austria       ,MassGatherAll                               ,2020-03-11 ,2020-07-31 , 20.0               ,                  142 ,Gathering             ,Low
