country,country_code,indicator,weekly_count,rate_14_day,date,cumulative,pandemic_wave
Austria,AUT,cases,114.0,1.41055344743741,2020-01-01,114.0,First Wave
Austria,AUT,cases,335.0,6.7057263096429,2020-01-01,449.0,First Wave
Austria,AUT,cases,872.0,18.5387024520345,2020-01-01,1321.0,First Wave
Austria,AUT,cases,5597.0,114.780988068061,2020-01-01,6918.0,First Wave
Austria,AUT,cases,18701.0,467.710416511804,2020-01-01,25619.0,First Wave
Austria,AUT,deaths,0.0,0.0,2020-01-01,25619.0,First Wave
Austria,AUT,deaths,9.0,3.69430664805035,2020-01-01,25628.0,First Wave
Austria,AUT,deaths,4.0,0.671692117827336,2020-01-01,25632.0,First Wave
Austria,AUT,deaths,30.0,6.15717774675058,2020-01-01,25662.0,First Wave
Austria,AUT,deaths,696.0,164.788466240306,2020-01-01,26358.0,First Wave
Austria,AUT,cases,0.0,,2020-01-06,26358.0,First Wave
Austria,AUT,cases,874.0,11.0605302068901,2020-01-06,27232.0,First Wave
Austria,AUT,cases,265.0,6.71692117827336,2020-01-06,27497.0,First Wave
Austria,AUT,cases,794.0,18.650651138339,2020-01-06,28291.0,First Wave
Austria,AUT,cases,7486.0,146.462466292251,2020-01-06,35777.0,First Wave
Austria,AUT,cases,14864.0,375.755765581242,2020-01-06,50641.0,First Wave
Austria,AUT,deaths,0.0,504.541534306003,2020-01-06,50641.0,First Wave
Austria,AUT,deaths,2.0,0.223897372609112,2020-01-06,50643.0,First Wave
Austria,AUT,deaths,14.0,2.57481978500479,2020-01-06,50657.0,First Wave
Austria,AUT,deaths,5.0,1.007538176741,2020-01-06,50662.0,First Wave
Austria,AUT,deaths,50.0,8.95589490436448,2020-01-06,50712.0,First Wave
Austria,AUT,deaths,587.0,143.630164528745,2020-01-06,51299.0,First Wave
Austria,AUT,cases,0.0,0.0,2020-01-13,51299.0,First Wave
Austria,AUT,cases,3068.0,44.130172141256,2020-01-13,54367.0,First Wave
Austria,AUT,cases,195.0,5.14963957000957,2020-01-13,54562.0,First Wave
Austria,AUT,cases,722.0,16.9714208437707,2020-01-13,55284.0,First Wave
Austria,AUT,cases,9903.0,194.667570614992,2020-01-13,65187.0,First Wave
Austria,AUT,cases,13340.0,315.74007485337,2020-01-13,78527.0,First Wave
Austria,AUT,deaths,0.0,0.0,2020-01-13,78527.0,First Wave
Austria,AUT,deaths,31.0,3.69430664805035,2020-01-13,78558.0,First Wave
Austria,AUT,deaths,4.0,2.01507635348201,2020-01-13,78562.0,First Wave
Austria,AUT,deaths,4.0,1.007538176741,2020-01-13,78566.0,First Wave
Austria,AUT,deaths,57.0,11.9785094345875,2020-01-13,78623.0,First Wave
Austria,AUT,deaths,460.0,117.21027456087,2020-01-13,79083.0,First Wave
Austria,AUT,cases,0.0,0.0,2020-01-20,79083.0,First Wave
Austria,AUT,cases,5128.0,91.7531432952141,2020-01-20,84211.0,First Wave
Austria,AUT,cases,227.0,4.72423456205226,2020-01-20,84438.0,First Wave
Austria,AUT,cases,1462.0,24.449593088915,2020-01-20,85900.0,First Wave
Austria,AUT,cases,18273.0,315.426618531717,2020-01-20,104173.0,First Wave
Austria,AUT,cases,14894.0,316.075920912283,2020-01-20,119067.0,First Wave
Austria,AUT,deaths,0.0,0.0,2020-01-20,119067.0,First Wave
Austria,AUT,deaths,101.0,14.7772265922014,2020-01-20,119168.0,First Wave
Austria,AUT,deaths,7.0,1.23143554935012,2020-01-20,119175.0,First Wave
Austria,AUT,deaths,6.0,1.11948686304556,2020-01-20,119181.0,First Wave
Austria,AUT,deaths,102.0,17.7998411224244,2020-01-20,119283.0,First Wave
Austria,AUT,deaths,397.0,95.9400241630045,2020-01-20,119680.0,First Wave
Austria,AUT,cases,0.0,0.0,2020-01-27,119680.0,First Wave
Austria,AUT,cases,3116.0,92.2904969894759,2020-01-27,122796.0,First Wave
Austria,AUT,cases,172.0,4.46675258355178,2020-01-27,122968.0,First Wave
Austria,AUT,cases,1907.0,37.7155124160049,2020-01-27,124875.0,First Wave
Austria,AUT,cases,31613.0,558.467216498908,2020-01-27,156488.0,First Wave
Austria,AUT,deaths,0.0,0.0,2020-01-27,156488.0,First Wave
Austria,AUT,deaths,125.0,25.3004031048296,2020-01-27,156613.0,First Wave
Austria,AUT,deaths,8.0,1.67923029456834,2020-01-27,156621.0,First Wave
Austria,AUT,deaths,3.0,1.007538176741,2020-01-27,156624.0,First Wave
Austria,AUT,deaths,234.0,37.6147585983308,2020-01-27,156858.0,First Wave
Austria,AUT,cases,0.0,0.0,2020-02-03,156858.0,First Wave
Austria,AUT,cases,1838.0,55.459379195277,2020-02-03,158696.0,First Wave
Austria,AUT,cases,248.0,4.70184482479135,2020-02-03,158944.0,First Wave
Austria,AUT,cases,1941.0,43.0778544899931,2020-02-03,160885.0,First Wave
Austria,AUT,cases,44758.0,854.963312176524,2020-02-03,205643.0,First Wave
